skater,trick,date,url,stance,status
sierra fellers,nollie crooked grind,01-27-2009,http://theberrics.com/trickipedia/nollie-crooked-grind.html,regular,pro
billy marks,switch bigspin heelflip,01-20-2009,http://theberrics.com/trickipedia/switch-bigspin-heelflip.html,regular,pro
danny supa,halfcab heelflip,01-13-2009,http://theberrics.com/trickipedia/halfcab-heelflip.html,goofy,pro
cody mcentire,nollie backside heelflip,01-06-2009,http://theberrics.com/trickipedia/nollie-backside-heelflip.html,regular,pro
greg lutzka,frontside halfcab kickflip,12-23-2008,http://theberrics.com/trickipedia/frontside-halfcab-kickflip.html,goofy,pro
joey brezinski,backside heelflip,12-16-2008,http://theberrics.com/trickipedia/backside-heelflip.html,goofy,pro
benny fairfax,nollie flip,12-09-2008,http://theberrics.com/trickipedia/nollie-flip.html,goofy,pro
lizard king,kickflip,12-02-2008,http://theberrics.com/trickipedia/kickflip.html,goofy,pro
jimmy cao,nollie backside kickflip,11-25-2008,http://theberrics.com/trickipedia/nollie-backside-kickflip.html,regular,pro
giovanni reda,no comply 180,11-18-2008,http://theberrics.com/trickipedia/no-comply-180.html,regular,am
andrew reynolds,frontside kickflip,11-11-2008,http://theberrics.com/trickipedia/frontside-kickflip.html,regular,pro
bryan herman,hardflip,11-04-2008,http://theberrics.com/trickipedia/hardflip.html,regular,pro
mike barker,backside smith grind,10-28-2008,http://theberrics.com/trickipedia/backside-smith-grind.html,regular,am
chico brenes,varial heelflip,10-21-2008,http://theberrics.com/trickipedia/heelflip-shuvit.html,regular,pro
garrett hill,pop shuvit,10-14-2008,http://theberrics.com/trickipedia/pop-shuvit.html,goofy,pro
luis tolentino,heelflip,10-07-2008,http://theberrics.com/trickipedia/heelflip.html,goofy,am
steve berra,backside kickflip,09-30-2008,http://theberrics.com/trickipedia/backside-kickflip.html,regular,pro
erik ellington,backside bigspin,09-27-2008,http://theberrics.com/trickipedia/backside-bigspin.html,goofy,pro
kelly hart,360 flip,09-26-2008,http://theberrics.com/trickipedia/360-flip.html,goofy,am
chris roberts,frontside nosegrind,09-25-2008,http://theberrics.com/trickipedia/frontside-nosegrind.html,regular,pro
