skater,trick,date,url,stance,status
carlos ribeiro,nollie flip noseslide,04-16-2013,http://theberrics.com/trickipedia/nollie-flip-noseslide.html,regular,am
joey brezinski,switch nosemanual fakie kickflip,04-09-2013,http://theberrics.com/trickipedia/switch-nosemanual-fakie-kickflip.html,goofy,pro
chaz ortiz,frontside hurricane,04-02-2013,http://theberrics.com/trickipedia/frontside-hurricane.html,regular,pro
matt miller,nollie 180 switch backside 5-0,03-26-2013,http://theberrics.com/trickipedia/nollie-180-switch-bs-5-0.html,goofy,pro
james espinoza,fakie inward heelflip hd,03-12-2013,http://theberrics.com/trickipedia/fakie-inward-heelflip-hd.html,goofy,am
paul rodriguez,nollie hardflip hd,03-05-2013,http://theberrics.com/trickipedia/nollie-hardflip-hd.html,goofy,pro
shane o'neill,switch 360 flip hd,02-26-2013,http://theberrics.com/trickipedia/switch-360-flip-hd.html,goofy,pro
manny santiago,360 shuvit lipslide,02-19-2013,http://theberrics.com/trickipedia/360-shuvit-lipslides.html,goofy,pro
kelly hart,frontside 180 heelflip,02-05-2013,http://theberrics.com/trickipedia/frontside-180-heelflip.html,goofy,am
boo johnson,fakie backside lipslides,01-29-2013,http://theberrics.com/trickipedia/fakie-backside-lipslides.html,goofy,am
morgan smith,frontside nollie kickflip hd,01-22-2013,http://theberrics.com/trickipedia/frontside-nollie-kickflip-hd.html,goofy,pro
lewis marnell,nollie bigspin heelflip,01-21-2013,http://theberrics.com/trickipedia/nollie-bigspin-heelflip.html,regular,pro
danny montoya,switch frontside smith grind,01-15-2013,http://theberrics.com/trickipedia/switch-frontside-smith-grind.html,regular,pro
ryan reyes,wallie,01-08-2013,http://theberrics.com/trickipedia/wallie.html,regular,am
keelan dadd,nollie double heelflip,12-18-2012,http://theberrics.com/trickipedia/nollie-double-heelflip.html,regular,pro
richie jackson,360 flip hippie jump,12-04-2012,http://theberrics.com/trickipedia/360-flip-hippie-jump.html,goofy,am
eric koston,switch backside 360,11-27-2012,http://theberrics.com/trickipedia/switch-backside-360.html,goofy,pro
chris roberts,fakie frontside nosegrind hd,11-20-2012,http://theberrics.com/trickipedia/fakie-frontside-nosegrind-hd.html,regular,pro
wade desarmo,nollie backside heelflip hd,11-13-2012,http://theberrics.com/trickipedia/nollie-backside-heelflip-hd.html,goofy,pro
david loy,frontside noseblunt,11-06-2012,http://theberrics.com/trickipedia/frontside-noseblunt-hd.html,regular,pro
daniel shimizu,pole jam,10-30-2012,http://theberrics.com/trickipedia/pole-jam.html,regular,pro
chaz ortiz,backside 180 nosegrind,10-23-2012,http://theberrics.com/trickipedia/backside-180-nosegrind-hd.html,regular,pro
daryl angel,pivot fakie hd,10-17-2012,http://theberrics.com/trickipedia/pivot-fakie-hd.html,regular,pro
felipe gustavo,switch bigspin heelflip hd,10-09-2012,http://theberrics.com/trickipedia/switch-bigspin-heelflip-hd.html,goofy,pro
kelly hart,nollie backside noseslide hd,10-02-2012,http://theberrics.com/trickipedia/nollie-backside-noseslide.html,goofy,am
trevor colden,switch backside tailslide hd,09-25-2012,http://theberrics.com/trickipedia/switch-backside-tailslide-hd.html,regular,pro
raymond molinar,fakie backside tailslide,09-18-2012,http://theberrics.com/trickipedia/fakie-backside-tailslide.html,regular,pro
ronnie creager,switch crooked grind hd,09-11-2012,http://theberrics.com/trickipedia/switch-crooked-grind-hd.html,goofy,pro
levi brown,ollie hd,09-04-2012,http://theberrics.com/trickipedia/ollie-hd.html,regular,pro
nick tucker,nollie inward heelflip hd,09-02-2012,http://theberrics.com/trickipedia/nollie-inward-heelflip-hd.html,regular,am
devine calloway,backside bigspin hd,09-01-2012,http://theberrics.com/trickipedia/backside-bigspin-hd.html,regular,pro
mikey taylor,frontside crooked grind,08-28-2012,http://theberrics.com/trickipedia/frontside-crooked-grind-hd.html,regular,pro
rodrigo petersen,frontside 5-0 grind hd,08-21-2012,http://theberrics.com/trickipedia/frontside-5-0-grind-hd.html,regular,am
tosh townend,frontside tailslide hd,08-14-2012,http://theberrics.com/trickipedia/frontside-tailslide-hd.html,regular,pro
manny santiago,360 shuvit hd,08-07-2012,http://theberrics.com/trickipedia/360-shuvit-hd.html,goofy,pro
chad tim tim,switch backside lipslide hd,07-31-2012,http://theberrics.com/trickipedia/switch-backside-lipslide-hd.html,goofy,pro
davis torgerson,backside lipslide hd,07-24-2012,http://theberrics.com/trickipedia/backside-lipslide-hd.html,goofy,pro
mark appleyard,nollie 180 switch crooked grind hd,07-17-2012,http://theberrics.com/trickipedia/nollie-180-switch-crooked-grind-hd.html,goofy,pro
sierra fellers,halfcab crooked grind,07-10-2012,http://theberrics.com/trickipedia/halfcab-crooked-grind.html,regular,pro
johan stuckey,kickflip fs 50-50,07-03-2012,http://theberrics.com/trickipedia/kickflip-frontside-50-50.html,goofy,am
nick tucker,bigspin kickflip hd,06-26-2012,http://theberrics.com/trickipedia/bigspin-kickflip-hd.html,regular,am
greg lutzka,frontside 360 hd,06-19-2012,http://theberrics.com/trickipedia/frontside-360-hd.html,goofy,pro
felipe gustavo,nollie crooked grind hd,06-05-2012,http://theberrics.com/trickipedia/nollie-crooked-grind-hd.html,goofy,pro
luis tolentino,frontside halfcab heelflip hd,05-29-2012,http://theberrics.com/trickipedia/frontside-half-cab-heelflip-hd.html,goofy,am
matt miller,nollie frontside heelflip hd,05-22-2012,http://theberrics.com/trickipedia/nollie-frontside-heelflip-hd.html,goofy,pro
kerry getz,frontside halfcab kickflip hd,05-08-2012,http://theberrics.com/trickipedia/frontside-halfcab-kickflip-hd.html,regular,pro
torey pudwill,backside tailslide hd,05-01-2012,http://theberrics.com/trickipedia/backside-tailslide-hd.html,regular,pro
tom asta,switch frontside heelflip hd,04-24-2012,http://theberrics.com/trickipedia/switch-frontside-heelflip-hd.html,regular,pro
eli reed,switch frontside pop shuvit hd,04-17-2012,http://theberrics.com/trickipedia/switch-frontside-pop-shuvit-hd.html,regular,pro
trevor colden,backside smith grind hd,04-10-2012,http://theberrics.com/trickipedia/backside-smith-grind-hd.html,regular,pro
mikemo capaldi,nollie heelflip hd,03-27-2012,http://theberrics.com/trickipedia/nollie-heelflip-hd.html,regular,pro
torey pudwill,kickflip hd,03-20-2012,http://theberrics.com/trickipedia/kickflip-hd.html,regular,pro
eric koston,fakie 360 flip hd,03-13-2012,http://theberrics.com/trickipedia/fakie-360-flip-hd.html,goofy,pro
chris cole,frontside kickflip hd,03-06-2012,http://theberrics.com/trickipedia/frontside-kickflip-hd.html,regular,am
billy marks,switch varial heelflip hd,02-28-2012,http://theberrics.com/trickipedia/switch-heelflip-shuvit-hd.html,regular,pro
josh kalis,nollie kickflip hd,02-21-2012,http://theberrics.com/trickipedia/nollie-kickflip-hd.html,goofy,pro
moose,varial heelflip hd,02-14-2012,http://theberrics.com/trickipedia/heelflip-shuvit-hd.html,regular,pro
austyn gillette,switch kickflip hd,02-07-2012,http://theberrics.com/trickipedia/switch-kickflip-hd.html,regular,pro
derrick wilson,switch frontside bigspin hd,01-31-2012,http://theberrics.com/trickipedia/switch-frontside-bigspin-hd.html,goofy,am
brandon biebel,frontside nosegrind hd,01-24-2012,http://theberrics.com/trickipedia/frontside-nosegrind-hd.html,goofy,pro
stevie williams,switch nose manual,01-17-2012,http://theberrics.com/trickipedia/switch-nose-manual-hd.html,goofy,pro
kevin romar,nollie backside 360 hd,01-10-2012,http://theberrics.com/trickipedia/nollie-backside-360-hd.html,goofy,pro
kelly hart,switch heelflip hd,12-27-2011,http://theberrics.com/trickipedia/switch-heelflip-hd.html,goofy,am
bert wootton,backside feeble grind hd,12-20-2011,http://theberrics.com/trickipedia/backside-feeble-grind-hd.html,regular,am
tommy sandoval,fakie kickflip,12-13-2011,http://theberrics.com/trickipedia/fakie-kickflip-hd.html,regular,pro
chico brenes,frontside pop shuvit hd,12-06-2011,http://theberrics.com/trickipedia/frontside-pop-shuvit-hd.html,regular,pro
mark appleyard,360 flip hd,11-29-2011,http://theberrics.com/trickipedia/360-flip-hd.html,goofy,pro
jimmy carlin,hardflip hd,11-15-2011,http://theberrics.com/trickipedia/hardflip-hd.html,regular,pro
shane o'neill,switch backside kickflip hd,11-08-2011,http://theberrics.com/trickipedia/switch-backside-kickflip-hd.html,goofy,pro
peter ramondetta,backside tailslide shuvit,11-01-2011,http://theberrics.com/trickipedia/backside-tailslide-shuvit.html,regular,pro
albert nyberg,no comply bigspin heelflip,10-25-2011,http://theberrics.com/trickipedia/no-comply-bigspin-heelflip.html,regular,pro
andrew langi,blunt fakie,10-18-2011,http://theberrics.com/trickipedia/blunt-fakie.html,regular,am
chaz ortiz,kickflip frontside boardslide,10-11-2011,http://theberrics.com/trickipedia/kickflip-frontside-boardslide.html,regular,pro
terry kennedy,fakie frontside lipslide,10-04-2011,http://theberrics.com/trickipedia/fakie-lipslide.html,regular,pro
steve caballero,backside boardslide,09-27-2011,http://theberrics.com/trickipedia/backside-boardslide.html,goofy,pro
boo johnson,fakie frontside bigspin,09-20-2011,http://theberrics.com/trickipedia/fakie-frontside-bigspin.html,goofy,am
rodrigo petersen,nollie frontside bigspin,09-13-2011,http://theberrics.com/trickipedia/nollie-frontside-bigspin.html,regular,am
mikey taylor,switch frontside lipslide,08-30-2011,http://theberrics.com/trickipedia/switch-frontside-lipslide.html,regular,pro
kevin romar,varial kickflip,08-23-2011,http://theberrics.com/trickipedia/varial-kickflip.html,goofy,pro
mikemo capaldi,switch bigspin kickflip,08-16-2011,http://theberrics.com/trickipedia/switch-bigspin-kickflip.html,regular,pro
